,passport,itempass,passportpass
135,"['1961', '2020', '2028', '61in', '#4992f2', 'blu', '747650669', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
136,"['1958', '2017', '2023', '153cm', '#602927', 'oth', '108391213', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
137,"['1976', '2015', '2023', '177cm', '#8069c4', 'grn', '391628371', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
138,"['1924', None, '2029', '188cm', '#82dfdc', 'gry', '910402636', None]","[1, 0, 1, 1, 1, 1, 1, 0]",['fail']
139,"['1978', '2017', '2027', '174cm', '#6b6569', 'blu', '302223240', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
140,"['1995', '2015', '2023', '75in', '#7d3b0c', 'oth', '054611703', '135']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
141,"[None, '2019', '2020', '184cm', '#efcc98', 'grn', '444944678', None]","[0, 1, 1, 1, 1, 1, 1, 0]",['fail']
142,"['1946', '2018', '2022', '70in', '#6b5442', 'amb', '859762925', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
143,"['1995', '2018', '2022', '183in', '#341e13', 'grn', '575081777', None]","[1, 1, 1, 0, 1, 1, 1, 0]",['fail']
144,"['1989', '2020', '2028', '162cm', '#0bd11f', 'gry', '073498924', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
145,"['1982', '2014', '2021', '184cm', '#866857', 'hzl', '122787281', '138']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
146,"['2014', '2025', '2023', '185in', 'z', 'gmt', '5529128129', '198']","[0, 0, 1, 0, 0, 0, 0, 0]",['fail']
147,"['1980', '2019', '2021', '170cm', '#ceb3a1', 'oth', '943445928', '74']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
148,"['1962', '2020', '2030', '169cm', '#fffffd', 'grn', '201122734', '246']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
149,"['1989', '2012', '2025', '182cm', '#cfa07d', 'blu', '025560194', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
150,"['1983', '2013', '2023', '151cm', '#efcc98', 'blu', '814513328', '73']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
151,"['1961', '2013', '2027', '188cm', '#888785', 'amb', '536384108', '121']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
152,"['2000', '2016', '2024', '187cm', '#b6652a', 'amb', '364607819', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
153,"['2026', '2028', '1956', '168cm', 'z', '#5b17d3', None, '105']","[0, 0, 0, 1, 0, 0, 0, 0]",['fail']
154,"['2001', '2019', '2026', '180cm', '#866857', 'brn', '913509058', '207']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
155,"['1957', '2013', '2027', '62in', '#866857', 'gry', '363979129', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
156,"['1932', '2013', '2027', '66in', '#efcc98', 'hzl', '417620217', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
157,"['1935', '2013', None, '192cm', '#d896d9', None, '795744816', '331']","[1, 1, 0, 1, 1, 0, 1, 0]",['fail']
158,"['1960', '2015', '2030', '176cm', '#888785', 'hzl', '025206542', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
159,"['1997', '2018', '2028', '182cm', '#341e13', 'oth', '526568190', '280']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
160,"['1993', '2018', '2021', '186cm', '#733820', 'blu', '273625601', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
161,"['1981', '2012', '2024', '74cm', '#733820', 'amb', '154027492', None]","[1, 1, 1, 0, 1, 1, 1, 0]",['fail']
162,"['1955', '2013', '2030', '176cm', '#a97842', 'oth', '347084450', '229']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
163,"['1979', '2017', '2023', '177cm', '#fffffd', 'blu', '183840860', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
164,"['1928', None, '2021', '190cm', '#602927', 'gry', '045246162', None]","[1, 0, 1, 1, 1, 1, 1, 0]",['fail']
165,"['1991', '2019', '2022', '162cm', '#602927', 'amb', '273620987', '269']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
166,"['2020', '2014', '2027', '189cm', '#fffffd', 'amb', '621069556', '202']","[0, 1, 1, 1, 1, 1, 1, 0]",['fail']
167,"['1988', '2018', '2022', '190cm', '#602927', 'gry', '349839553', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
168,"['1984', '2014', '2025', '179cm', '#733820', 'gry', '231854667', '102']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
169,"['1997', '2020', '2020', '172cm', '#cfa07d', 'grn', '509400891', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
170,"['1994', '2017', '2029', '174cm', '#fffffd', 'amb', '685743124', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
171,"['1999', '2012', '2028', '177cm', '#b6652a', 'oth', '549190825', '316']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
172,"['1924', '2011', '2029', '192cm', '#efcc98', 'grn', '215962187', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
173,"['1959', '2011', '2023', '184cm', '#866857', 'gry', '204093118', '164']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
174,"['1938', '2013', '2022', '172cm', '#3f2f3a', 'hzl', '623470811', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
175,"['2006', '2019', None, '152in', '#b6652a', 'oth', '189008850', None]","[0, 1, 0, 0, 1, 1, 1, 0]",['fail']
176,"['1924', '2014', '2026', '150cm', '#602927', 'oth', '049746898', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
177,"['2018', '2018', '2028', '190cm', '#733820', 'oth', '8676207205', None]","[0, 1, 1, 1, 1, 1, 0, 0]",['fail']
178,"['1936', '2014', '2023', '170cm', '#18171d', 'oth', '874405208', '308']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
179,"['1988', '2016', '2021', '164cm', '#c0946f', 'hzl', '423603306', '147']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
180,"['1988', '2010', '2028', '176cm', '#6b5442', 'hzl', '967151288', '280']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
181,"['1959', '2019', '2023', '163cm', '#cfa07d', 'gry', '561439154', '299']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
182,"['1996', '2017', '2023', '170cm', '#7d3b0c', 'blu', '635547007', '280']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
183,"['1941', '2014', '2021', '190cm', '#888785', 'brn', None, None]","[1, 1, 1, 1, 1, 1, 0, 0]",['fail']
184,"['1948', '2018', '2022', '162cm', '#c0946f', 'amb', '130696599', '199']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
185,"['1933', '2019', '2026', '178cm', '#a4fc09', 'hzl', '886849824', '314']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
186,"['1996', '2016', '2030', '169cm', '#ef542c', 'brn', '119207760', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
187,"['2003', '2030', '2039', '182cm', '#c0946f', '#c81361', '#7336a0', '347']","[0, 0, 0, 1, 1, 0, 0, 0]",['fail']
188,"['1966', '2013', '2027', '172cm', '#7d3b0c', 'gry', '727812879', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
189,"['1973', '2016', '2028', '190cm', '#341e13', 'hzl', '744997238', '322']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
190,"['1923', '2014', '2026', '171cm', '#04083f', 'oth', '074049558', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
191,"['1922', '2012', '2021', '178cm', '#fffffd', 'brn', '973713235', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
192,"['2020', '2011', '2026', '164cm', '9fccf7', '#10165d', '#ceefa8', '201']","[0, 1, 1, 1, 0, 0, 0, 0]",['fail']
193,"['1952', '2012', '2025', '165cm', '#623a2f', 'blu', '775787557', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
194,"['2018', '2021', '1974', '69in', 'z', 'lzr', '6186829005', None]","[0, 0, 0, 1, 0, 0, 0, 0]",['fail']
195,"['1950', '2014', '2028', '184cm', '#c0946f', None, '824641755', None]","[1, 1, 1, 1, 1, 0, 1, 0]",['fail']
196,"['1988', '2015', '2023', '187cm', '#7d3b0c', None, '895876610', '84']","[1, 1, 1, 1, 1, 0, 1, 0]",['fail']
197,"[None, '2020', '2030', '157cm', '#fffffd', 'grn', '486236241', None]","[0, 1, 1, 1, 1, 1, 1, 0]",['fail']
198,"['1926', '2010', '2029', '74in', '#9d1214', 'hzl', '348573885', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
199,"['1993', '2013', '2022', '171cm', '#a97842', 'oth', '148728436', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
